itemLabel,ikuspenak,imagen
Juan Cruz Sol,2,http://commons.wikimedia.org/wiki/Special:FilePath/Juan%20Cruz%20Sol%20a%20Torrent.jpg
Daniel Estrada,7,http://commons.wikimedia.org/wiki/Special:FilePath/CSC%200211%20%2828620695937%29%20%28cropped%29.jpg
Mikel Aranburu,14,http://commons.wikimedia.org/wiki/Special:FilePath/Mikel-Aranburu.jpg
Mikel Labaka,20,http://commons.wikimedia.org/wiki/Special:FilePath/Mikel%20Labaka%202011.jpg
Asier Illarramendi,35,http://commons.wikimedia.org/wiki/Special:FilePath/Asier%20Illaramendi%20-%20Real%20Sociedad%202016-17.jpg
Gorka Elustondo,11,http://commons.wikimedia.org/wiki/Special:FilePath/Gorka-Elustondo.jpg
Aitor Begiristain,22,http://commons.wikimedia.org/wiki/Special:FilePath/Txiki%20Begiristain%202016.jpg
Salva Iriarte,7,http://commons.wikimedia.org/wiki/Special:FilePath/Salva%20Iriarte.jpg
Dionisio Urreisti,3,http://commons.wikimedia.org/wiki/Special:FilePath/Alineaci%C3%B3n%20Real%20Puertollano.jpg
Juan Manuel Basurko,3,http://commons.wikimedia.org/wiki/Special:FilePath/JuanM.Basurko.Gaztetan.png
Alain Eizmendi,12,http://commons.wikimedia.org/wiki/Special:FilePath/El%20CD%20Legan%C3%A9s%20a%20Primera%20%2826911425003%29%20Eizmendi%20%28cropped%29.jpg
Josu Sarriegi,8,http://commons.wikimedia.org/wiki/Special:FilePath/Panathinaikos%20Sports%20ShowGEDC1140.jpg
Kepa Areso,4,http://commons.wikimedia.org/wiki/Special:FilePath/Pedro%20Areso.jpg
Joseba Beitia,14,http://commons.wikimedia.org/wiki/Special:FilePath/CSC%200148%20%2841699315570%29%20beitia%20%28cropped%29.jpg
Joseba Zaldua,11,http://commons.wikimedia.org/wiki/Special:FilePath/Krasnodar-Real%20Sosiedad%20%2822%29.jpg
Iker Rodellar,7,http://commons.wikimedia.org/wiki/Special:FilePath/Iker%20rodellar.jpg
Luca Sangalli,17,http://commons.wikimedia.org/wiki/Special:FilePath/Luca%20Sangalli%202018.jpg
Fernando Asuero,2,http://commons.wikimedia.org/wiki/Special:FilePath/Asuero%20doktorea%20Gurutze%20Gorritik%20ateratzen%201929.png
Hugo Guillamon,31,http://commons.wikimedia.org/wiki/Special:FilePath/Hugo%20Guillam%C3%B3n%202020.png
Aritz Elustondo,55,http://commons.wikimedia.org/wiki/Special:FilePath/CSC%200005%20%2832672684428%29%20%28cropped%29.jpg
Ane Etxezarreta,30,http://commons.wikimedia.org/wiki/Special:FilePath/Ane%20Etxezarreta.jpg
Yuri Berchiche,26,http://commons.wikimedia.org/wiki/Special:FilePath/Krasnodar-Real%20Sosiedad%20%2810%29.jpg
Jon Guridi,14,http://commons.wikimedia.org/wiki/Special:FilePath/CSC%200120%20%2845822073274%29%20%28cropped%29.jpg
Luis Iruretagoiena,5,http://commons.wikimedia.org/wiki/Special:FilePath/Luis%20Iruretagoyena%20Kiriki.jpg
Mario Capelete,3,http://commons.wikimedia.org/wiki/Special:FilePath/Mario%20Capelete.jpg
Maddi Torre,39,http://commons.wikimedia.org/wiki/Special:FilePath/Maddi%20Torre%20Larra%C3%B1aga.jpg
Ander Barrenetxea,4,http://commons.wikimedia.org/wiki/Special:FilePath/CSC%200017%20%2832672683418%29%20%28cropped%29.jpg
Imanol Idiakez,4,http://commons.wikimedia.org/wiki/Special:FilePath/Spartak-aek-15%20%E2%80%94%20%D0%BA%D0%BE%D0%BF%D0%B8%D1%8F%20%282%29.jpg
Jesus Maria Zamora,17,http://commons.wikimedia.org/wiki/Special:FilePath/Jesus%20Mari%20Zamora%201981.jpg
Mikel Balenziaga,20,http://commons.wikimedia.org/wiki/Special:FilePath/Balenziaga%20%28cropped%29.jpg
Isidro Langara,10,http://commons.wikimedia.org/wiki/Special:FilePath/Langara%20%28cropped%29.jpg
Jose Javier Barkero,3,http://commons.wikimedia.org/wiki/Special:FilePath/BarkeroLevante.jpg
Julio Olaizola,4,http://commons.wikimedia.org/wiki/Special:FilePath/Julio%20Olaizola.jpg
Santi Idigoras,13,http://commons.wikimedia.org/wiki/Special:FilePath/Santi%20Idigoras.jpg
Jose Arakistain,5,http://commons.wikimedia.org/wiki/Special:FilePath/Jos%C3%A9%20Araquist%C3%A1in%201962.jpg
Javier Sagarzazu,5,http://commons.wikimedia.org/wiki/Special:FilePath/Xabier%20Sagarzazu%20Erreala.jpg
Asier Garitano,23,http://commons.wikimedia.org/wiki/Special:FilePath/AsierGaritano.png
Vanesa Gimbert,20,http://commons.wikimedia.org/wiki/Special:FilePath/Vanesa%20Gimbert%20%28cropped%29.jpg
Unai Alba,5,http://commons.wikimedia.org/wiki/Special:FilePath/Unai%20Alba.JPG
Oihana Aldai,16,http://commons.wikimedia.org/wiki/Special:FilePath/Oihana%20Aldai.jpg
Mikel Azkoiti,5,http://commons.wikimedia.org/wiki/Special:FilePath/CSC%200137%20%2829636219088%29azkoiti%20%28cropped%29.jpg
Igor Zubeldia,30,http://commons.wikimedia.org/wiki/Special:FilePath/CSC%200125%20%2845822072544%29%20%28cropped%29.jpg
Iraia Iparragirre,5,http://commons.wikimedia.org/wiki/Special:FilePath/Iraia%20Iparraguirre%20Argando%C3%B1a.jpg
Andoni Iraola,31,http://commons.wikimedia.org/wiki/Special:FilePath/Andoni%20Iraola1.jpg
Julen Lopetegi,40,http://commons.wikimedia.org/wiki/Special:FilePath/Julen%20Lopetegui2014.jpg
Jose Agustin Aranzabal,4,http://commons.wikimedia.org/wiki/Special:FilePath/Gaztelu.jpg
Irene Paredes,39,http://commons.wikimedia.org/wiki/Special:FilePath/Irene%20Paredes.JPG
Luis Olaso,2,http://commons.wikimedia.org/wiki/Special:FilePath/Luis%20Olaso.jpg
Joseba Ituarte,4,http://commons.wikimedia.org/wiki/Special:FilePath/Joseba%20Ituarte.JPG
Zigor Aranalde,3,http://commons.wikimedia.org/wiki/Special:FilePath/ZIGOR%20ARANALDE%202021.png
Imanol Agirretxe,45,http://commons.wikimedia.org/wiki/Special:FilePath/FUTBOLISTAS%20LA%20VIDA%20FUERA%20DEL%20FUTBOL-KORNER%202020%20%2849546559938%29%20%28cropped%29.jpg
Andoni Imaz,6,http://commons.wikimedia.org/wiki/Special:FilePath/Andoni%20Imaz%20billabonatarra%20%2894-427%29.jpg
Jon Irazustabarrena,8,http://commons.wikimedia.org/wiki/Special:FilePath/CSC%200114%20%2841699319020%29.jpg
Imanol Alguacil,40,http://commons.wikimedia.org/wiki/Special:FilePath/Imanol%20Alguacil%202018.jpg
