itemLabel,ikuspenak,imagen
Jon Plazaola,31,http://commons.wikimedia.org/wiki/Special:FilePath/Jon%20Plazaola%2001%20-%20Seminci%202016.jpg
Iker Galartza,101,http://commons.wikimedia.org/wiki/Special:FilePath/Iker%20Galartza.jpg
Beatriz Egizabal,31,http://commons.wikimedia.org/wiki/Special:FilePath/Beatriz%20Egizabal%20Durangon.jpg
Ainara Ortega,12,http://commons.wikimedia.org/wiki/Special:FilePath/Ainara%20Ortega%20Barrenetxea.jpg
Pepita Enbil,20,http://commons.wikimedia.org/wiki/Special:FilePath/Pepita%20Embil%20-%20Soprano%20and%20mother%20of%20Placido%20Domingo.jpg
Lur Korta,59,http://commons.wikimedia.org/wiki/Special:FilePath/Lur%20Korta.%20Literaktum.jpg
Jose Kruz Gurrutxaga,18,http://commons.wikimedia.org/wiki/Special:FilePath/Jose%20Kruz%20Gurrutxaga%20%2846006601012%29.jpg
Mertxe Rodriguez,184,http://commons.wikimedia.org/wiki/Special:FilePath/Marimotots%2C%20Mertxe%20Rodriguez%20%28cropped%29.jpg
Agustin Mujika,236,http://commons.wikimedia.org/wiki/Special:FilePath/Takolo%2C%20Pirritx%20eta%20Porotx.jpg
Eider Perez,30,http://commons.wikimedia.org/wiki/Special:FilePath/Eider%20P%C3%A9rez.%20Aktorea%2Caurkezlea%2C%20bertsozalea.jpg
Patxi Santamaria,27,http://commons.wikimedia.org/wiki/Special:FilePath/Patxi%20Santamaria%2BNekane%20Igarza-5%20%287255219332%29.jpg
Elena Irureta,52,http://commons.wikimedia.org/wiki/Special:FilePath/Elena%20Irureta.jpg
Aitziber Garmendia,127,http://commons.wikimedia.org/wiki/Special:FilePath/Aitziber%20Garmendia%202020%20%28cropped%29.jpg
Lorea Intxausti,167,http://commons.wikimedia.org/wiki/Special:FilePath/Lorea%20Intxausti%20202107.jpg
Xanti Korkostegi,80,http://commons.wikimedia.org/wiki/Special:FilePath/Xanti%20Korkostegi%202020%20%28cropped%29.jpg
Inma Fernandez,42,http://commons.wikimedia.org/wiki/Special:FilePath/Inma%20Fernandez%202017.jpg
Najat Kaanache,3,http://commons.wikimedia.org/wiki/Special:FilePath/Food%20Magic%20with%20Najat%20Kaanache%20and%20Bill%20Yosses.jpg
Maite Agirre,13,http://commons.wikimedia.org/wiki/Special:FilePath/Maite%20Agirre%20-%20Morka.jpg
Ixabel Agirresarobe,39,http://commons.wikimedia.org/wiki/Special:FilePath/Ixabel%20Agirresarobe%2C%202020-04-23.png
Kandido Uranga,102,http://commons.wikimedia.org/wiki/Special:FilePath/Kandido%20Uranga.jpg
Ane Aseginolaza,81,http://commons.wikimedia.org/wiki/Special:FilePath/Ane%20Aseginolaza.%20Bikoizlea.jpg
Olga Bidaurreta,8,http://commons.wikimedia.org/wiki/Special:FilePath/Olga%20Bidaurreta%20%2896-125%29.jpg
Ainhoa Alberdi,10,http://commons.wikimedia.org/wiki/Special:FilePath/Ainhoa%20Alberdi%20Iraia%20Elias%20001.jpg
Abelin Linazisoro,9,http://commons.wikimedia.org/wiki/Special:FilePath/1995-034%20Abelin%20Linazisoro.jpeg
Maitena Salinas,106,http://commons.wikimedia.org/wiki/Special:FilePath/Maitena%20Salinas%202017.jpg
Juan de Landa,2,http://commons.wikimedia.org/wiki/Special:FilePath/Actress%20Assumpci%C3%B3%20Casals%20and%20Juan%20de%20Landa%20in%20%22Al%20margen%20de%20la%20ley%22%20film%20%281935%29.jpg
