itemLabel,ikuspenak,imagen
Joxe Austin Arrieta,28,http://commons.wikimedia.org/wiki/Special:FilePath/Joxe%20Austin%20Arrieta%20idazlea.jpg
Abelino Barriola,13,http://commons.wikimedia.org/wiki/Special:FilePath/Abelino%20barriola.jpg
Joseba Etxarri,5,http://commons.wikimedia.org/wiki/Special:FilePath/Joseba-Etxarri-2003.jpg
Joseba Zubimendi,3,http://commons.wikimedia.org/wiki/Special:FilePath/Jose%20zubimendi.jpg
Toribio Altzaga,23,http://commons.wikimedia.org/wiki/Special:FilePath/ToribioAltzagaBereTaldea.png
Itziar Zubizarreta,4,http://commons.wikimedia.org/wiki/Special:FilePath/Itziar%20Zubizarreta.jpg
Vicente Manterola,5,http://commons.wikimedia.org/wiki/Special:FilePath/52570%20N%2016-07-12-22-59-39.jpeg
Markel Ormazabal,27,http://commons.wikimedia.org/wiki/Special:FilePath/Markel%20Ormazabal.jpg
Jule Goikoetxea,4,http://commons.wikimedia.org/wiki/Special:FilePath/Jule-Goikoetxea%20Norabidea%20eus%20Argia.jpg
Sabino Ormazabal,47,http://commons.wikimedia.org/wiki/Special:FilePath/Sabino%20Ormazabal.jpg
Eneko Barberena,16,http://commons.wikimedia.org/wiki/Special:FilePath/Eneko%20Barberena.%20Idazlea.jpg
Jabier Muguruza,38,http://commons.wikimedia.org/wiki/Special:FilePath/Concierto%20de%20Javier%20Muguruza%20en%20el%20Instituto%20Cervantes%20de%20Tokio%2001%20%28cropped%29.jpg
Castor Narvarte,9,http://commons.wikimedia.org/wiki/Special:FilePath/Castor%20Narvarte.jpg
Baltasar Etxabe Orio,5,http://commons.wikimedia.org/wiki/Special:FilePath/Baltasar%20de%20echave.jpg
Eduardo Ugarte,2,http://commons.wikimedia.org/wiki/Special:FilePath/Lorca%20y%20Ugarte%20creadores%20de%20la%20Barraca%2C%20con%20el%20uniforme%20de%20la%20compa%C3%B1%C3%ADa%2C%20mono%20azul%20con%20la%20insignia%20dise%C3%B1ada%20por%20Benjam%C3%ADn%20Palencia.%20Vigo%2C%20agosto%20de%201932.jpg
Fernando Artola,12,http://commons.wikimedia.org/wiki/Special:FilePath/Bordari.jpg
Abelin Linazisoro,9,http://commons.wikimedia.org/wiki/Special:FilePath/1995-034%20Abelin%20Linazisoro.jpeg
Esteban Garibai,65,http://commons.wikimedia.org/wiki/Special:FilePath/Esteban%20Garibai.GIF
Patxi Altuna,26,http://commons.wikimedia.org/wiki/Special:FilePath/Patxi%20Altuna%20euskaltzaina%201989an.jpg
Gotzon Garate,44,http://commons.wikimedia.org/wiki/Special:FilePath/Gotzon%20Garate.jpg
Karmelo Etxegarai,15,http://commons.wikimedia.org/wiki/Special:FilePath/Karmelo%20Etxegarai.png
Fernando Morillo,308,http://commons.wikimedia.org/wiki/Special:FilePath/Fernando%20Morillo.jpg
Salbatore Mitxelena,41,http://commons.wikimedia.org/wiki/Special:FilePath/Salbatore%20Mitxelena%20Zarauzko%20Hitza.jpg
Samara Velte,81,http://commons.wikimedia.org/wiki/Special:FilePath/Samara%20Velte.jpg
Aitziber Etxeberria,20,http://commons.wikimedia.org/wiki/Special:FilePath/Aitziber%20Etxeberria%20Garro.jpg
Imanol Urbieta,360,http://commons.wikimedia.org/wiki/Special:FilePath/Imanol%20Urbieta%20musikaria.jpg
Hasier Etxeberria,35,http://commons.wikimedia.org/wiki/Special:FilePath/Hasier%20Etxeberria.jpg
Imanol Murua Uria,36,http://commons.wikimedia.org/wiki/Special:FilePath/Imanol%20murua-300.jpg
Jesus Mari Olaizola,23,http://commons.wikimedia.org/wiki/Special:FilePath/Txiliku%201%20%28Paloma%20Gabirondo%20Otermin%29.jpg
Dionisio Amundarain,8,http://commons.wikimedia.org/wiki/Special:FilePath/Dionisio%20Amundarain.jpg
Kepa Murua,3,http://commons.wikimedia.org/wiki/Special:FilePath/Kepa%20Murua.jpg
Danele Sarriugarte,66,http://commons.wikimedia.org/wiki/Special:FilePath/Danele%20Sarriugarte.jpg
Bertol Arrieta,33,http://commons.wikimedia.org/wiki/Special:FilePath/BertolArrieta-2018.jpg
Martin Etxeberria,19,http://commons.wikimedia.org/wiki/Special:FilePath/Martin%20Etxeberria%20Garro.jpg
Xabier Etxeberria,3,http://commons.wikimedia.org/wiki/Special:FilePath/Xabier%20Etxeberria%20Garro.jpg
Jokin Apalategi,39,http://commons.wikimedia.org/wiki/Special:FilePath/Jokin%20Apalategi%20%28cropped%29.jpg
Koldo Zuazo,123,http://commons.wikimedia.org/wiki/Special:FilePath/Koldo%20Zuazo%20hizkuntzalaria%202011n.jpg
Toribio Etxebarria,26,http://commons.wikimedia.org/wiki/Special:FilePath/Toribio%20Etxeberria.JPG
Koldo Mitxelena,174,http://commons.wikimedia.org/wiki/Special:FilePath/Koldo%20Mitxelena-2.jpg
Fermin Etxegoien,185,http://commons.wikimedia.org/wiki/Special:FilePath/Fermin%20Etxegoien%202010ean.jpg
Mariasun Landa,146,http://commons.wikimedia.org/wiki/Special:FilePath/Mariasun%20Landa%20%28Natividad%20de%20la%20Puerta%20Rueda%29.jpg
Karlos Linazasoro,8,http://commons.wikimedia.org/wiki/Special:FilePath/Karlos%20Linazasoro%203%20%28Ander%20Gillenea%29.jpg
Xabier Elosegi,2,http://commons.wikimedia.org/wiki/Special:FilePath/Xabier%20Elosegi.jpg
Juan Kruz Igerabide,43,http://commons.wikimedia.org/wiki/Special:FilePath/Juan%20Kruz%20Igerabide.JPG
Xabier Etxaniz Erle,23,http://commons.wikimedia.org/wiki/Special:FilePath/Xabier%20Etxaniz%20Erle%201.png
Ramos Azkarate,12,http://commons.wikimedia.org/wiki/Special:FilePath/Ramos%20Azkarate%20%28moztua%29.jpg
Paulo Agirrebaltzategi,19,http://commons.wikimedia.org/wiki/Special:FilePath/AgirrebaltzategiUEU84.jpg
Luistxo Fernandez,23,http://commons.wikimedia.org/wiki/Special:FilePath/Luistxo%20Fernandez.jpg
Yurre Ugarte,20,http://commons.wikimedia.org/wiki/Special:FilePath/Yurre%20Ugarte%202013.jpg
Mikel Arrizabalaga Aizpurua,10,http://commons.wikimedia.org/wiki/Special:FilePath/Mikel%20Arrizabalaga%20%28cropped%29.jpg
Ramon Artola,16,http://commons.wikimedia.org/wiki/Special:FilePath/R%20artola.png
Itziar Ugarte,169,http://commons.wikimedia.org/wiki/Special:FilePath/Itziar%20Ugarte%20Irizar.%20kazetari%20eta%20idazle%20o%C3%B1atiarra.jpg
Nikolas Ormaetxea,3,http://commons.wikimedia.org/wiki/Special:FilePath/Orixe%20idazlea%201933an.jpg
Antonio Casado da Rocha,12,http://commons.wikimedia.org/wiki/Special:FilePath/Antonio%20Casado%20da%20Rocha.jpg
Itziar Ziga,23,http://commons.wikimedia.org/wiki/Special:FilePath/Itziar%20Ziga.jpg
Joxe Iriarte,15,http://commons.wikimedia.org/wiki/Special:FilePath/Joxe%20Iriarte.jpg
Joan Mari Irigoien,133,http://commons.wikimedia.org/wiki/Special:FilePath/Joan%20Mari%20Irigoien.jpg
Juan San Martin,34,http://commons.wikimedia.org/wiki/Special:FilePath/Juan%20San%20Martin%20euskaltzaina%201976an.jpg
Asier Serrano,73,http://commons.wikimedia.org/wiki/Special:FilePath/Asier%20Serrano%20%28Josu%20Margusino%29.jpg
Eider Rodriguez,190,http://commons.wikimedia.org/wiki/Special:FilePath/Eider%20Rodriguez%20idazlea%20Baionan%2C%202008an.jpg
Baleriano Mokoroa,4,http://commons.wikimedia.org/wiki/Special:FilePath/Baleriano%20Mokoroa.png
Joxemari Iturralde,2,http://commons.wikimedia.org/wiki/Special:FilePath/Joxemari%20Iturralde.jpg
Andoni Urzelai,9,http://commons.wikimedia.org/wiki/Special:FilePath/Andoni%20Urzelai.jpg
Antonio Valverde,12,http://commons.wikimedia.org/wiki/Special:FilePath/Antonio%20valverde.jpg
Asun Garikano,22,http://commons.wikimedia.org/wiki/Special:FilePath/Asun%20Garikano%202014.jpg
Jexuxmari Zalakain,11,http://commons.wikimedia.org/wiki/Special:FilePath/Zalakain2.jpg
Jon Sarasua,136,http://commons.wikimedia.org/wiki/Special:FilePath/Jon%20Sarasua%20bertsolaria%202008an.jpg
Koldo Izagirre,172,http://commons.wikimedia.org/wiki/Special:FilePath/Koldo%20izagirre%200001.jpg
Josu Landa,32,http://commons.wikimedia.org/wiki/Special:FilePath/Josu%20Landa%2011tb.png
Lazkao Txiki,581,http://commons.wikimedia.org/wiki/Special:FilePath/Lazkaotxiki.jpg
Joxe Azurmendi,87,http://commons.wikimedia.org/wiki/Special:FilePath/Joxe%20Azurmendi.jpg
